theta_deg,intensity,std,offset_mm
-10.931,166.59,1.154,-9.8606
-10.144,164.58,1.311,-9.1584
-10.153,169.21,1.507,-9.1664
-9.810,167.77,1.203,-8.8598
-9.773,167.55,1.157,-8.8267
-9.776,167.80,1.249,-8.8294
-9.812,168.00,1.214,-8.8616
-9.754,166.95,1.244,-8.8098
-9.761,167.32,1.259,-8.8160
-9.810,167.20,1.166,-8.8598
-9.800,167.62,1.253,-8.8509
-9.719,167.33,1.168,-8.7784
-9.748,167.43,1.218,-8.8044
-9.815,167.86,1.320,-8.8643
-9.699,167.48,1.096,-8.7606
-9.711,167.52,1.295,-8.7713
-9.693,167.35,1.276,-8.7552
